# Article mentions confirmed by hand (Roman, 2026-09-15): bar slug -> article slug.
# Every pair confirmed by reading the article and quoting the sentence. Read by
# scripts/build-article-mentions.mjs as the per-article allowlist, so generic
# names on this list are linked and survive regeneration. Add a line to link a
# pair; remove one with a reason in the changelog.
#
# dante-beverly-hills: assigned here rather than in the review file, because
# the review matched the New York row; these two articles are about the
# Los Angeles room.
bar-us -> asias-50-best-bars-2025-names-bar-leone-no-1-again
bar-us -> himkok-turns-10-with-global-bar-takeovers
bar-us -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
bar-us -> top-10-nominees-for-the-2024-spirited-awards
barc -> asias-50-best-bars-2026-wynn-macau-host-partner
bekeb -> north-americas-50-best-bars-2026-results
bird -> europes-50-best-bars-2026-line-athens-number-one
bird -> worlds-50-best-bars-reveals-51-100-list-for-2025
bird -> himkok-turns-10-with-global-bar-takeovers
bird -> mirror-hospitality-expo-2025
bird -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
bisous -> north-americas-50-best-bars-2026-results
bisous -> 2025-james-beard-awards-semifinalists-announced
boadas -> europes-50-best-bars-2026-line-athens-number-one
boadas -> bar-world-100-2025-full-list-of-global-influencers
boadas -> bars-in-barcelona
boadas -> barcelonas-cocktail-evolution
botanist -> north-americas-50-best-bars-2026-results
brujas -> mexican-bar-tour
byrdi -> worlds-50-best-bars-reveals-51-100-list-for-2025
byrdi -> bar-world-100-2025-full-list-of-global-influencers
byrdi -> nico-de-soto
byrdi -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
byrdi -> top-10-nominees-for-the-2024-spirited-awards
carico -> top-10-nominees-for-the-2024-spirited-awards
coa -> margarita-mile-hong-kong-2026
coa -> asias-50-best-bars-2026-wynn-macau-host-partner
coa -> top-10-bars-in-hong-kong-for-2026
coa -> worlds-50-best-bars-2025-bar-leone-tops-the-list
coa -> asias-50-best-bars-2025-names-bar-leone-no-1-again
coa -> bar-world-100-2025-full-list-of-global-influencers
coa -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
coley -> asia-cocktail-culture-the-bird-the-tiger-and-the-samurai
cure -> north-americas-50-best-bars-2026-results
cure -> cure
danico -> europes-50-best-bars-2026-line-athens-number-one
danico -> danico-paris-10th-anniversary-best-of-cocktail-menu
danico -> asias-50-best-bars-2026-wynn-macau-host-partner
danico -> worlds-50-best-bars-2025-bar-leone-tops-the-list
danico -> bar-world-100-2025-full-list-of-global-influencers
danico -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
danico -> 18th-annual-spirited-awards-winners
danico -> top-10-nominees-for-the-2024-spirited-awards
danico -> danico-bars-xplorer-series
dante -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
darkside -> top-10-bars-in-hong-kong-for-2026
darkside -> top-10-nominees-for-the-2024-spirited-awards
dukes -> worlds-best-bars-head-to-stockholm-for-bca-week
dukes -> bar-world-100-2025-full-list-of-global-influencers
east-47 -> top-10-bars-in-singapore-2026
epic -> the-opposites-celebrates-one-year-in-hong-kong
eximia -> worlds-50-best-bars-reveals-51-100-list-for-2025
eximia -> bar-world-100-2025-full-list-of-global-influencers
fable -> solara-bar-sao-paulo-bumble-safe-space
foco -> europes-50-best-bars-2026-line-athens-number-one
fura -> spirited-awards-2026-winners-tales-of-the-cocktail
fura -> paradiso-sustainability-summit-2025
fura -> top-10-nominees-for-the-2024-spirited-awards
gaba -> top-10-bars-in-dubai-2025
gokan -> top-10-bars-in-hong-kong-for-2026
gokan -> worlds-50-best-bars-reveals-51-100-list-for-2025
gokan -> 50-best-signature-sessions-return-to-hong-kong
gorilla -> europes-50-best-bars-2026-line-athens-number-one
hecate-bar-boston -> north-americas-50-best-bars-2026-the-extended-list
hide -> europes-50-best-bars-2026-line-athens-number-one
himkok -> central-europe-hospitality-expo-cehe-2027
himkok -> bars-becoming-their-own-distillers-house-spirits-3
himkok -> europes-50-best-bars-2026-line-athens-number-one
himkok -> himkok-and-devils-cut-join-belgrade-cocktail-fest-2026
himkok -> worlds-50-best-bars-2025-bar-leone-tops-the-list
himkok -> himkok-unveils-design-led-cocktail-menu-with-studio-sloyd
himkok -> himkok-turns-10-with-global-bar-takeovers
himkok -> top-500-bars-2024-celebrates-the-best-in-global-mixology
himkok -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
julep -> north-americas-50-best-bars-2026-the-extended-list
ku-bar -> nico-de-soto
kumiko -> north-americas-50-best-bars-2026-results
kumiko -> worlds-50-best-bars-reveals-51-100-list-for-2025
kumiko -> 2025-james-beard-awards-semifinalists-announced
kumiko -> top-10-nominees-for-the-2024-spirited-awards
kwant -> negroni-week-2026-asia-pacific-guest-shifts
kwant -> europes-50-best-bars-2026-line-athens-number-one
kwant -> top-10-bars-in-london-2026
kwant -> worlds-50-best-bars-reveals-51-100-list-for-2025
kwant -> bar-world-100-2025-full-list-of-global-influencers
kwant -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
kwant -> top-10-nominees-for-the-2024-spirited-awards
kwant -> rasty-kasar
kwant -> mexican-coffee
kyara -> barcelona-hotel-bar-week-2026
lab-22 -> siete-misterios-best-cocktail-menu-award-2024
lair -> worlds-50-best-bars-reveals-51-100-list-for-2025
lair -> asias-50-best-bars-2025-names-bar-leone-no-1-again
line -> best-cocktail-bars-amsterdam-2026
line -> europes-50-best-bars-2026-with-the-polot-1882-family
line -> europes-50-best-bars-2026-line-athens-number-one
line -> worlds-50-best-bars-2026-milan
line -> 50-best-bars-scholarship-2026-line-athens-tres-monos-buenos-aires
line -> worlds-50-best-bars-2025-bar-leone-tops-the-list
line -> global-bar-exchange-2025-26-by-woodford-reserve
line -> bar-world-100-2025-full-list-of-global-influencers
line -> himkok-turns-10-with-global-bar-takeovers
line -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
line -> athens-bar-show-2023
line -> nikos-bakoulis
mace -> eugene-tolmach-pov-bartender-training
mace -> bar-world-100-2025-full-list-of-global-influencers
manhattan -> asias-50-best-bars-2026-wynn-macau-host-partner
manhattan -> top-10-bars-in-singapore-2026
manhattan -> best-bars-in-southeast-asia
merai-brookline-boston -> 2025-james-beard-awards-semifinalists-announced
milli -> negroni-week-2026-asia-pacific-guest-shifts
mirate -> top-10-bars-in-los-angeles-2026
mirate -> north-americas-50-best-bars-2026-results
mirate -> worlds-50-best-bars-reveals-51-100-list-for-2025
monk -> bar-world-100-2025-full-list-of-global-influencers
monk -> bars-in-barcelona
monk -> barcelonas-cocktail-evolution
mother -> north-americas-50-best-bars-2026-results
native -> bar-world-100-2026-full-list-of-global-influencers
native -> top-10-bars-in-singapore-2026
native -> the-sustainable-documents-a-free-resource-for-bars
native -> wing-lei-bar-friends-vol-2-lands-in-macao
native -> worlds-50-best-bars-reveals-51-100-list-for-2025
native -> bar-world-100-2025-full-list-of-global-influencers
native -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
native -> bcb-heads-to-singapore
nightjar -> global-bar-exchange-2025-26-by-woodford-reserve
opium -> negroni-week-2026-asia-pacific-guest-shifts
opium -> asias-50-best-bars-2026-wynn-macau-host-partner
opium -> wing-lei-bar-friends-vol-2-lands-in-macao
opium -> worlds-50-best-bars-reveals-51-100-list-for-2025
opium -> asias-50-best-bars-2025-names-bar-leone-no-1-again
ozone -> asias-best-bartenders-descend-on-ozone-hong-kong
pahit -> asia-cocktail-culture-the-bird-the-tiger-and-the-samurai
paradiso -> europes-50-best-bars-2026-line-athens-number-one
paradiso -> paradiso-barcelona-oltre-cocktail-menu
paradiso -> women-hospitality-miladys-new-york-june-2026
paradiso -> amsterdam-cocktail-week-2026-bars-events-guide
paradiso -> paradiso-celebrates-10-years-with-its-first-cocktail-book
paradiso -> torres-brandy-opens-submissions-for-zero-challenge-2026
paradiso -> worlds-50-best-bars-2025-bar-leone-tops-the-list
paradiso -> bar-world-100-2025-full-list-of-global-influencers
paradiso -> paradiso-sustainability-summit-2025
paradiso -> torres-brandy-zero-challenge-2025
paradiso -> paradiso-sustainability-summit-2025-announced
paradiso -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
paradiso -> top-10-bar-trends-for-2024-elevate-your-cocktail-game
paradiso -> top-10-nominees-for-the-2024-spirited-awards
paradiso -> athens-bar-show-2023
paradiso -> bars-in-barcelona
paradiso -> barcelonas-cocktail-evolution
paradiso -> giacomo-giannotti
pdt -> exclusive-interview-with-marian-beke
penicillin -> negroni-week-2026-asia-pacific-guest-shifts
penicillin -> top-10-bars-in-hong-kong-for-2026
penicillin -> asias-50-best-bars-2025-names-bar-leone-no-1-again
penicillin -> bar-world-100-2025-full-list-of-global-influencers
penicillin -> barstars-world-tour-2024-brings-asias-top-bartenders-to-europe
proof -> north-americas-50-best-bars-2026-the-extended-list
q-bar -> himkok-and-devils-cut-join-belgrade-cocktail-fest-2026
rayo -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
rayo -> rayo
rayo -> the-50-best-bars-in-north-america-for-2024
rita -> europes-50-best-bars-2026-line-athens-number-one
roots-zagreb -> copy-taste-festival-2026-zagreb
ruby -> himkok-and-devils-cut-join-belgrade-cocktail-fest-2026
rumba-seattle -> top-10-nominees-for-the-2024-spirited-awards
sips -> europes-50-best-bars-2026-line-athens-number-one
sips -> bar-world-100-2026-full-list-of-global-influencers
sips -> worlds-50-best-bars-2025-bar-leone-tops-the-list
sips -> bar-world-100-2025-full-list-of-global-influencers
sips -> montana-by-antinori-caporale-opens-in-hong-kong
sips -> montana-bar-to-open-in-hong-kong-in-summer-2025
sips -> top-500-bars-2024-celebrates-the-best-in-global-mixology
sips -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
sips -> taos
sips -> sips-bar-wins-consecutive-title-in-the-worlds-50-best-bars-ranking
sips -> bars-in-barcelona
sips -> barcelonas-cocktail-evolution
sips -> simone-caporale
socio -> margarita-mile-hong-kong-2026
soma -> hyper-drinks-by-angelos-bafas-redefines-cocktail-simplicity
stir -> negroni-week-2026-asia-pacific-guest-shifts
stir -> the-sustainable-documents-a-free-resource-for-bars
svanen -> europes-50-best-bars-2026-line-athens-number-one
svanen -> torres-brandy-opens-submissions-for-zero-challenge-2026
svanen -> worlds-50-best-bars-2025-bar-leone-tops-the-list
svanen -> daniel-pappa-wins-torres-brandy-zero-challenge
svanen -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
swift -> top-10-bars-in-london-2026
tag -> central-europe-hospitality-expo-cehe-2027
tag -> europes-50-best-bars-2026-line-athens-number-one
thunderbolt -> top-10-bars-in-los-angeles-2026
thunderbolt -> solara-bar-sao-paulo-bumble-safe-space
thunderbolt -> 2025-james-beard-awards-semifinalists-announced
thunderbolt -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
thunderbolt -> top-10-nominees-for-the-2024-spirited-awards
tjoget -> europes-50-best-bars-2026-line-athens-number-one
tjoget -> bartenders-choice-awards-2026-all-the-winners
tjoget -> worlds-50-best-bars-reveals-51-100-list-for-2025
tjoget -> bar-world-100-2025-full-list-of-global-influencers
tjoget -> mirror-hospitality-expo-2025-puts-bratislava-on-the-bar-map
tjoget -> himkok-turns-10-with-global-bar-takeovers
tlecan -> spirited-awards-2026-winners-tales-of-the-cocktail
tlecan -> north-americas-50-best-bars-2026-results
tlecan -> worlds-50-best-bars-2025-bar-leone-tops-the-list
tlecan -> bar-world-100-2025-full-list-of-global-influencers
tlecan -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
tlecan -> top-10-nominees-for-the-2024-spirited-awards
vender -> worlds-50-best-bars-reveals-51-100-list-for-2025
vender -> asias-50-best-bars-2025-names-bar-leone-no-1-again
vesper -> asias-50-best-bars-2025-names-bar-leone-no-1-again
vesper -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
virtu -> asias-50-best-bars-2026-wynn-macau-host-partner
virtu -> worlds-50-best-bars-2025-bar-leone-tops-the-list
virtu -> asias-50-best-bars-2025-names-bar-leone-no-1-again
virtu -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
virtu -> 50-best-bars-roku-scholarship-2024
waltz -> europes-50-best-bars-2026-line-athens-number-one
wax-on -> europes-50-best-bars-2026-line-athens-number-one
wax-on -> worlds-50-best-bars-reveals-51-100-list-for-2025
wax-on -> mirror-hospitality-expo-2025-puts-bratislava-on-the-bar-map
wax-on -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
yoi -> world-gin-week-2026-debut
zest -> worlds-50-best-bars-2025-bar-leone-tops-the-list
zest -> best-bars-in-southeast-asia
zest -> asias-50-best-bars-2025-names-bar-leone-no-1-again
zest -> zest-seoul-takes-over-balis-sunset-park-rooftop
zest -> paradiso-sustainability-summit-2025
zest -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
zest -> top-10-nominees-for-the-2024-spirited-awards
zlb23 -> asias-best-bartenders-descend-on-ozone-hong-kong
zlb23 -> zlb23-ranks-no-31-on-asias-50-best-bars-2025
zuma -> top-10-bars-in-dubai-2025
zuma -> top-10-nominees-for-the-2024-spirited-awards
zuma-hong-kong -> negroni-week-2026-asia-pacific-guest-shifts
#
# 2026-09-15, restored by Roman after the multi-row rule dropped them: each is
# an article about the ORIGINAL opening an outpost, so both rows belong.
bar-leone -> bar-leone-shanghai-opens-this-november
bar-leone -> bar-leone-expands-with-second-location-in-shanghai
bar-leone -> negroni-week-2026-asia-pacific-guest-shifts
seed-library -> mr-lyan-brings-seed-library-to-new-york-this-fall
